Key,ConceptId,CanonicalTermRU,CurrentTextOrVariant,SourceTermId,SourceFile,SourceKeyOrFunction,ComponentOrModule,ContextOrScreen,TriggerCondition,ReplacementTarget,Notes
CONCEPT_POINTS_CURRENCY__ST3_0800,CONCEPT_POINTS_CURRENCY,💰,Не хватает пойнтов.,ST3_0800,AsyncScene/Web/events.js,if,events,"events_voting_crowd,economy_toasts,disabled_states",static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=Error; taxonomyCategory=Error; inventoryNotes=line=1366; forbiddenSynonymMapped=пойнтов
CONCEPT_POINTS_CURRENCY__ST3_0801,CONCEPT_POINTS_CURRENCY,💰,Не хватает пойнтов.,ST3_0801,AsyncScene/Web/events.js,if,events,"events_voting_crowd,economy_toasts,disabled_states",static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=Error; taxonomyCategory=Error; inventoryNotes=line=1373; forbiddenSynonymMapped=пойнтов
CONCEPT_POINTS_CURRENCY__ST3_0802,CONCEPT_POINTS_CURRENCY,💰,Не хватает пойнтов.,ST3_0802,AsyncScene/Web/events.js,if,events,"events_voting_crowd,economy_toasts,disabled_states",static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=Error; taxonomyCategory=Error; inventoryNotes=line=1381; forbiddenSynonymMapped=пойнтов
CONCEPT_POINTS_CURRENCY__ST3_0803,CONCEPT_POINTS_CURRENCY,💰,-${voteCost}💰,ST3_0803,AsyncScene/Web/events.js,pushSystem,events,"events_voting_crowd,economy_toasts",dynamic_template,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=variables=voteCost; line=1417
CONCEPT_POINTS_CURRENCY__ST3_0804,CONCEPT_POINTS_CURRENCY,💰,Не прокает: нет P.,ST3_0804,AsyncScene/Web/events.js,прокает,events,events_voting_crowd,static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=Other; taxonomyCategory=Error; inventoryNotes=line=1499; forbiddenSynonymMapped=P
CONCEPT_POINTS_CURRENCY__ST3_0805,CONCEPT_POINTS_CURRENCY,💰,Не прокает: нет P.,ST3_0805,AsyncScene/Web/events.js,прокает,events,events_voting_crowd,static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=Other; taxonomyCategory=Error; inventoryNotes=line=1505; forbiddenSynonymMapped=P
CONCEPT_POINTS_CURRENCY__ST3_0806,CONCEPT_POINTS_CURRENCY,💰,Не прокает: нет P.,ST3_0806,AsyncScene/Web/events.js,прокает,events,events_voting_crowd,static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=Other; taxonomyCategory=Error; inventoryNotes=line=1581; forbiddenSynonymMapped=P
CONCEPT_POINTS_CURRENCY__ST3_0807,CONCEPT_POINTS_CURRENCY,💰,Не прокает: нет P.,ST3_0807,AsyncScene/Web/events.js,прокает,events,events_voting_crowd,static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=Other; taxonomyCategory=Error; inventoryNotes=line=1587; forbiddenSynonymMapped=P
CONCEPT_POINTS_CURRENCY__ST3_0940,CONCEPT_POINTS_CURRENCY,💰,"Твоя фраза: <b>${safeText(p ? p.label : ""?"")}</b><br>",ST3_0940,AsyncScene/Web/game_legacy.js,safeText,root,general_interface,dynamic_template,💰,"STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=Button; taxonomyCategory=ResourceName; inventoryNotes=variables=safeText(p ? p.label : ""?""); line=619"
CONCEPT_POINTS_CURRENCY__ST3_0954,CONCEPT_POINTS_CURRENCY,💰,Ты: ${p.label} (${atk})\\n,ST3_0954,AsyncScene/Web/game_legacy.js,Ты,root,general_interface,dynamic_template,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=Button; taxonomyCategory=ResourceName; inventoryNotes=variables=p.label|atk; line=714
CONCEPT_POINTS_CURRENCY__ST3_0958,CONCEPT_POINTS_CURRENCY,💰,Ты: ${p.label} (${atk})\\n,ST3_0958,AsyncScene/Web/game_legacy.js,Ты,root,general_interface,dynamic_template,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=Button; taxonomyCategory=ResourceName; inventoryNotes=variables=p.label|atk; line=734
CONCEPT_POINTS_CURRENCY__ST3_1041,CONCEPT_POINTS_CURRENCY,💰,Пойнты,ST3_1041,AsyncScene/Web/index.html,html_text_or_attribute,root,economy_toasts,static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=83
CONCEPT_POINTS_CURRENCY__ST3_1051,CONCEPT_POINTS_CURRENCY,💰,Сдать бандита/токсика за +2 💰.,ST3_1051,AsyncScene/Web/index.html,html_text_or_attribute,root,"reports_cop_flow,economy_toasts",static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=Button; taxonomyCategory=ActionName; inventoryNotes=line=125
CONCEPT_POINTS_CURRENCY__ST3_1081,CONCEPT_POINTS_CURRENCY,💰,"че по 💰, при бабле",ST3_1081,AsyncScene/Web/npcs.js,m,root,"chat_ui,economy_toasts",static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=148
CONCEPT_POINTS_CURRENCY__ST3_1096,CONCEPT_POINTS_CURRENCY,💰,💰 на стол,ST3_1096,AsyncScene/Web/npcs.js,m,root,economy_toasts,static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=169
CONCEPT_POINTS_CURRENCY__ST3_1162,CONCEPT_POINTS_CURRENCY,💰,"Если ответить слишком быстро, он может нанести урон по 💰.",ST3_1162,AsyncScene/Web/npcs.js,risk,root,economy_toasts,static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=725
CONCEPT_POINTS_CURRENCY__ST3_1165,CONCEPT_POINTS_CURRENCY,💰,Говорит ультиматумами и угрозами. Давит на '💰' и заставляет действовать.,ST3_1165,AsyncScene/Web/npcs.js,style,root,economy_toasts,static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=730
CONCEPT_POINTS_CURRENCY__ST3_1166,CONCEPT_POINTS_CURRENCY,💰,"Если вы проиграете ему, он может обнулить ваши 💰.",ST3_1166,AsyncScene/Web/npcs.js,risk,root,economy_toasts,static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=731
CONCEPT_POINTS_CURRENCY__ST3_1181,CONCEPT_POINTS_CURRENCY,💰,💰,ST3_1181,AsyncScene/Web/state.js,icons,state,economy_toasts,static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=693
CONCEPT_POINTS_CURRENCY__ST3_1243,CONCEPT_POINTS_CURRENCY,💰,+${ptsSum}💰,ST3_1243,AsyncScene/Web/state.js,ptsMsg,state,economy_toasts,dynamic_template,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=variables=ptsSum; line=3764
CONCEPT_POINTS_CURRENCY__ST3_1247,CONCEPT_POINTS_CURRENCY,💰,+1⭐ +1💰,ST3_1247,AsyncScene/Web/state.js,pushSystem,state,economy_toasts,static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=3835
CONCEPT_POINTS_CURRENCY__ST3_1248,CONCEPT_POINTS_CURRENCY,💰,+${returnAmount}💰,ST3_1248,AsyncScene/Web/state.js,pushSystem,state,economy_toasts,dynamic_template,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=variables=returnAmount; line=3845
CONCEPT_POINTS_CURRENCY__ST3_1261,CONCEPT_POINTS_CURRENCY,💰,Кап: каждые 5 💰 -> +1 ⭐.,ST3_1261,AsyncScene/Web/state.js,Кап,state,economy_toasts,static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=4380
CONCEPT_POINTS_CURRENCY__ST3_1262,CONCEPT_POINTS_CURRENCY,💰,+1💰,ST3_1262,AsyncScene/Web/state.js,toastResult,state,"economy_toasts,result_cards",static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=4725
CONCEPT_POINTS_CURRENCY__ST3_1263,CONCEPT_POINTS_CURRENCY,💰,+1💰,ST3_1263,AsyncScene/Web/state.js,reason,state,economy_toasts,static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=4773
CONCEPT_POINTS_CURRENCY__ST3_1264,CONCEPT_POINTS_CURRENCY,💰,+1💰,ST3_1264,AsyncScene/Web/state.js,reason,state,economy_toasts,static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=4774
CONCEPT_POINTS_CURRENCY__ST3_1266,CONCEPT_POINTS_CURRENCY,💰,+1💰,ST3_1266,AsyncScene/Web/state.js,if,state,economy_toasts,static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=4875
CONCEPT_POINTS_CURRENCY__ST3_1267,CONCEPT_POINTS_CURRENCY,💰,+1💰,ST3_1267,AsyncScene/Web/state.js,if,state,economy_toasts,static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=4878
CONCEPT_POINTS_CURRENCY__ST3_1268,CONCEPT_POINTS_CURRENCY,💰,+1💰,ST3_1268,AsyncScene/Web/state.js,reason,state,economy_toasts,static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=4919
CONCEPT_POINTS_CURRENCY__ST3_1269,CONCEPT_POINTS_CURRENCY,💰,-2💰,ST3_1269,AsyncScene/Web/state.js,reason,state,economy_toasts,static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=4920
CONCEPT_POINTS_CURRENCY__ST3_1287,CONCEPT_POINTS_CURRENCY,💰,Не хватает 💰 на обучение.,ST3_1287,AsyncScene/Web/ui-old.js,dmPushLine,root,"dm_ui,training_econ04,economy_toasts,disabled_states",static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=329
CONCEPT_POINTS_CURRENCY__ST3_1308,CONCEPT_POINTS_CURRENCY,💰,Введите положительное число пойнтов.,ST3_1308,AsyncScene/Web/ui-old.js,p2p_invalid_amount,root,"p2p,economy_toasts",static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=Error; taxonomyCategory=ResourceName; inventoryNotes=line=461; forbiddenSynonymMapped=пойнтов
CONCEPT_POINTS_CURRENCY__ST3_1309,CONCEPT_POINTS_CURRENCY,💰,У вас недостаточно пойнтов.,ST3_1309,AsyncScene/Web/ui-old.js,p2p_insufficient_points,root,"p2p,economy_toasts",static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=462; forbiddenSynonymMapped=пойнтов
CONCEPT_POINTS_CURRENCY__ST3_1310,CONCEPT_POINTS_CURRENCY,💰,Нельзя отправить пойнты самому себе.,ST3_1310,AsyncScene/Web/ui-old.js,p2p_self_transfer_forbidden,root,"p2p,economy_toasts,disabled_states",static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=463; forbiddenSynonymMapped=пойнты
CONCEPT_POINTS_CURRENCY__ST3_1313,CONCEPT_POINTS_CURRENCY,💰,Подкинуть 💰,ST3_1313,AsyncScene/Web/ui-old.js,label,root,economy_toasts,static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=Button; taxonomyCategory=ResourceName; inventoryNotes=line=480
CONCEPT_POINTS_CURRENCY__ST3_1314,CONCEPT_POINTS_CURRENCY,💰,Попросить 💰,ST3_1314,AsyncScene/Web/ui-old.js,label,root,economy_toasts,static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=Button; taxonomyCategory=ResourceName; inventoryNotes=line=480
CONCEPT_POINTS_CURRENCY__ST3_1316,CONCEPT_POINTS_CURRENCY,💰,"Сколько 💰 вы хотите передать ${target.name || """"}?",ST3_1316,AsyncScene/Web/ui-old.js,promptText,root,economy_toasts,dynamic_template,💰,"STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=variables=target.name || """"; line=491"
CONCEPT_POINTS_CURRENCY__ST3_1317,CONCEPT_POINTS_CURRENCY,💰,"Сколько 💰 ${target.name || """"} должен передать вам?",ST3_1317,AsyncScene/Web/ui-old.js,promptText,root,economy_toasts,dynamic_template,💰,"STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=variables=target.name || """"; line=492"
CONCEPT_POINTS_CURRENCY__ST3_1318,CONCEPT_POINTS_CURRENCY,💰,"Вы отправили ${amount} 💰 ${target.name || """"}.",ST3_1318,AsyncScene/Web/ui-old.js,showP2PSystem,root,"p2p,economy_toasts",dynamic_template,💰,"STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=variables=amount|target.name || """"; line=507"
CONCEPT_POINTS_CURRENCY__ST3_1319,CONCEPT_POINTS_CURRENCY,💰,"${target.name || """"} отправил(а) вам ${amount} 💰.",ST3_1319,AsyncScene/Web/ui-old.js,showP2PSystem,root,"p2p,economy_toasts",dynamic_template,💰,"STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=variables=target.name || """"|amount; line=508"
CONCEPT_POINTS_CURRENCY__ST3_1326,CONCEPT_POINTS_CURRENCY,💰,Сдать бандита или гопника за вознаграждение в 2 💰. Ложный донос: штраф -1 💰.,ST3_1326,AsyncScene/Web/ui-old.js,if,root,"reports_cop_flow,economy_toasts",static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=Button; taxonomyCategory=ActionName; inventoryNotes=line=568
